year,disaster_type,country,iso,latitude,longitude,total_deaths,total_damages
2016,Flood,Bangladesh,BGD,90.04,24.09,106,150000
2016,Flood,Brazil,BRA,-179.555,-56.44,3,100000
2016,Flood,China,CHN,247.532,112.95,68,3000000
2016,Flood,Germany,DEU,48.407,10.22,7,2000000
2016,Flood,Ecuador,ECU,-0.786,-797.01,9,10000
2016,Flood,Greece,GRC,37.418,22.292,4,56000
2014,Flood,Solomon Islands,SLB,-9.67763,160.34,47,24000
2014,Volcanic activity,Indonesia,IDN,-7.93,112.308,7,103000
2014,Earthquake,Nicaragua,NIC,11.642,-85.8779,2,3000
2014,Earthquake,Thailand,THA,19.6557,99.6696,1,62000
2015,Flood,Macedonia (the former Yugoslav Republic of),MKD,41.7575,21.19,7,87000
2015,Storm,Philippines,PHL,16.691,121.24,51,210985
2015,Flood,Malawi,MWI,-18.795,35.36,278,390000
2015,Flood,Pakistan,PAK,33.5131,71.89,49,1000
2015,Flood,India,IND,33.1767,76.41,44,76000
2015,Flood,Myanmar,MMR,20.175,95.53,149,119000
2015,Earthquake,Malaysia,MYS,5.987,116.541,24,2
2015,Earthquake,Nepal,NPL,28.23,84.731,8831,5174000
2015,Storm,Mexico,MEX,283.812,-101.77,14,823000
